제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
스텔란티스코리아 주식회사,Peugeot 2008 1.5 BlueHDi,2017-12-06,2019-11-07,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,Peugeot 2008 1.5 BlueHDi,2020-07-08,2022-09-27,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,Peugeot 3008 / 5008 1.5 BlueHDi,2017-10-11,2023-01-31,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,Citroen C3 Aircross 1.5 BlueHDi,2017-10-10,2023-01-30,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,Citroen C4 Cactus 1.5 BlueHDi,2017-12-12,2020-10-06,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,Citroen C4 Piccaso 1.5 BlueHDi,2018-01-25,2022-06-27,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,Citroen C5 Aircross 1.5 BlueHDi,2018-06-14,2023-01-31,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,DS3 Crossback 1.5 BlueHDi,2018-06-26,2023-01-31,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,DS4 Crossback 1.5 BlueHDi,2018-07-20,2023-01-31,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
스텔란티스코리아 주식회사,DS7 Crossback 1.5 BlueHDi,2017-10-04,2023-01-31,2025-11-06,"흡,배기 캠축 스프라켓을 구동시켜주는 타이밍 체인 부품설계 과정에서 체인간 충분한 유격을 고려하지 않고 설계되었습니다. 이로 인해 시간이 지나면서 엔진 오일 내에 카본이 누적되면 타이밍 체인의 마찰력이 증가하고, 피로도가 축적되어 주행 중 또는 시동 시 이상 소음이 발생할 수 있습니다. 드물게는 타이밍 체인이 파손되어 엔진 시동이 불가능하거나, 주행 중 시동이 꺼질 가능성도 있습니다. 이는 운전자의 안전에 지장을 줄 수 있으므로 제작결함 시정을 하고자 합니다."
유한회사 모토로싸,Panigale V4,2021-01-21,2021-06-03,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 S,2021-01-21,2021-06-28,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 S,2022-03-17,2024-05-17,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 SP 2,2022-03-30,2023-05-08,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4,2018-07-19,2019-07-18,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 S,2018-07-13,2019-07-31,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 Speciale Tricolore,2018-07-19,2018-11-21,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 R,2019-04-16,2020-03-13,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4,2020-01-27,2020-07-14,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Panigale V4 S,2019-12-12,2020-03-11,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,Superleggera V4,2020-07-22,2020-09-17,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,StreetFighter V4,2020-05-16,2020-06-29,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
유한회사 모토로싸,StreetFighter V4 S,2020-04-28,2020-07-24,2025-11-07,뒷차축의 구조적 강성 부족으로 인해 뒷차축에 균열이 발생하여 파손될 수 있음
